GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
271,V10C,0,795496.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
272,V10C,1,795526.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
273,V10C,0,795556.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
274,V10C,0,795586.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
275,V10C,1,795616.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
276,V10C,0,795646.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
277,V10C,0,795676.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
278,V10C,0,795706.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
279,V10C,0,795736.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
280,V10C,0,795766.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
281,V10C,0,795796.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
282,V10C,0,795826.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
283,V10C,0,795856.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
284,V10C,0,795886.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
285,V10C,0,795916.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
286,V10C,0,795946.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
287,V10C,0,795976.88330,9915605.57300,23,23,0,0,8,26,5/12/2021
289,V10C,0,795436.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
290,V10C,0,795466.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
291,V10C,0,795496.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
292,V10C,0,795526.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
293,V10C,0,795556.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
294,V10C,0,795586.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
295,V10C,2,795616.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
296,V10C,0,795646.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
297,V10C,0,795676.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
298,V10C,0,795706.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
299,V10C,0,795736.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
300,V10C,0,795766.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
301,V10C,0,795796.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
302,V10C,0,795826.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
303,V10C,0,795856.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
304,V10C,0,795886.88330,9915635.57300,23,23,0,0,8,26,5/12/2021
